Date,Open,High,Low,Close,Adj Close,Volume
1/13/2021,7000,7350,6500,6500,6496.895996,84717300
1/14/2021,6075,6150,6050,6050,6047.11084,4877600
1/15/2021,5650,5750,5650,5650,5647.301758,7861700
1/18/2021,5275,5300,5275,5275,5272.480957,7603900
1/19/2021,4930,5200,4910,4910,4907.655273,41433500
1/20/2021,4590,4970,4570,4810,4807.703125,144000200
1/21/2021,4810,5150,4720,4800,4797.70752,56613300
1/22/2021,4800,4850,4470,4470,4467.865234,26486200
1/25/2021,4210,4250,4160,4160,4158.013184,3051200
1/26/2021,4100,4150,3870,3870,3868.151855,45177600
1/27/2021,3870,3870,3600,3600,3598.280762,27197200
1/28/2021,3500,3500,3350,3350,3348.400146,2770400
1/29/2021,3320,3370,3120,3120,3118.51001,6188000
2/1/2021,3000,3240,2910,2980,2978.576904,53098500
2/2/2021,3000,3550,2960,3230,3228.45752,58958700
2/3/2021,3300,3720,3270,3500,3498.328613,51684900
2/4/2021,3530,3580,3260,3260,3258.443115,15334800
2/5/2021,3260,3350,3050,3250,3248.447998,17843100
2/8/2021,3250,3480,3220,3400,3398.376221,27027300
2/9/2021,3420,3920,3420,3600,3598.280762,91122900
2/10/2021,3600,3650,3430,3500,3498.328613,14752300
2/11/2021,3500,3750,3460,3740,3738.213867,34636100
2/15/2021,3800,3820,3620,3660,3658.252197,18475400
2/16/2021,3660,4030,3630,3990,3988.094482,60575700
2/17/2021,3990,4090,3800,3830,3828.170898,38400200
2/18/2021,3850,3930,3670,3670,3668.247314,12867300
2/19/2021,3650,3790,3600,3700,3698.233154,6574400
2/22/2021,3760,3790,3670,3700,3698.233154,7855300
2/23/2021,3700,3740,3660,3690,3688.237793,2875500
2/24/2021,3700,3700,3530,3590,3588.285645,7087200
2/25/2021,3600,3700,3590,3650,3648.256836,6785900
2/26/2021,3580,3630,3440,3530,3528.314209,8726000
3/1/2021,3550,3700,3550,3610,3608.276123,5932900
3/2/2021,3650,3660,3560,3600,3598.280762,4260900
3/3/2021,3600,3630,3500,3510,3508.32373,4929300
